filename,split,level_1,level_2,level_3
20230302_E3N.05.01_1750C10h_CBS_001.png,init,Dendritic,None,None
20230302_E1N.05.01_1750C10h_CBS_002.png,init,Dendritic,None,None
20230221_D4b.01_AsCast_CBS_001.png,init,Dendritic,None,None
"20230316_E2N.05.02_1750C10h,1600C40h_CBS_001.png",init,Dendritic,None,None
20230526_E1N.01_Pub_CBS.png,init,Dendritic,None,None
20230104_E3N.01_AsCast_CBS_002.png,init,Dendritic,None,None
20230104_E2N.01_AsCast_CBS_003.png,init,Dendritic,None,None
20230222_D6N.01_AsCast_CBS_002.png,init,Dendritic,None,None
20230228_D3.01_AsCast_CBS_002.png,init,Dendritic,None,None
20230221_D4.01_AsCast_CBS.png,init,Dendritic,None,None
"20230406_E3N.05.03_1750C10h,1300C200h_CBS_001.png",init,Dendritic,None,None
20230222_E5.01_AsCast_CBS.png,test,Dendritic,None,None
20230316_C5.01_AsCast_CBS.png,test,Dendritic,None,None
20230301_C6.05.01_1750C10h_CBS_009.png,test,Dendritic,None,None
"20230412_E1N.05.03_1750C10h,1300C200h_CBS_001.png",test,Dendritic,None,None
20221109_C2.03_1750C10h_CBS_002.png,test,Dendritic,None,None
20230228_C3.01_AsCast_CBS_002.png,test,Dendritic,None,None
20221117_D2.01_AsCast_CBS_002.png,test,Dendritic,None,None
20230302_E2N.05.01_1750C10h_CBS_002.png,test,Dendritic,None,None
"20230425_E2N.05.03_1750C10h,1300C200h_CBS_001.png",test,Dendritic,None,None
20221120_D5.01_AsCast_CBS_002.png,test,Dendritic,None,None
"20230316_E3N.05.02_1750C10h,1600C40h_CBS_002.png",test,Dendritic,None,None
20230116_B0.01_AsCast_CBS_002.png,test,Dendritic,None,None
20230126_C6.01_AsCast_CBS_001.png,test,Dendritic,None,None
"20230330_E5.05.02_1750C10h,1600C40h_CBS_001.png",test,Dendritic,None,None
20220824_C2.01_AsCast_CBS_001.png,test,Dendritic,None,None
20221120_D1.01_AsCast_CBS_003.png,test,Dendritic,None,None
"20230316_E1N.05.02_1750C10h,1600C40h_CBS_001.png",test,Dendritic,None,None
20230126_C3.04_1900C10h_CBS_005.png,init,DualPhase,None,None
"20230406_D1.05.02_1750C10h,1600C40h_CBS.png",init,DualPhase,None,None
20230526_C4N.06.03_Pub_CBS_002.png,init,DualPhase,None,None
20230526_C4N.06.03_Pub_CBS_004.png,init,DualPhase,None,None
"20230412_D2.05.03_1750C10h,1300C200h_CBS_005.png",test,DualPhase,None,None
"20230314_C4N.05.02_1750C10h,1600C40h_CBS_007.png",test,DualPhase,None,None
"20230405_B0.05.03_1750C10h,1300C200h_CBS_004.png",test,DualPhase,None,None
"20230314_C2.05.02_1750C10h,1600C40h_CBS_003.png",test,DualPhase,None,None
20221117_D2.03_1750C10h_CBS_010.png,test,DualPhase,None,None
"20230314_D2.05.02_1750C10h,1600C40h_CBS_003.png",test,DualPhase,None,None
20230526_C4N.06.03_Pub_CBS_003.png,test,DualPhase,None,None
"20230418_C6.06.03_1900C10h,1300C200h_CBS_004.png",init,SinglePhase,None,None
"20230316_D3b.05.02_1750C10h,1600C40h_CBS_001.png",init,SinglePhase,None,None
"20230314_C5.05.02_1750C10h,1600C40h_CBS_005.png",init,SinglePhase,None,None
20230425_C5.03_1750C10h_CBS.png,init,SinglePhase,None,None
"20230425_D3.05.02_1750C10h,1600C40h_CBS.png",init,SinglePhase,None,None
"20230406_C6.06.02_1900C10h,1300C200h_CBS.png",init,SinglePhase,None,None
20230425_C5.03_1750C10h_CBS_003.png,init,SinglePhase,None,None
20230412_D3.05.01_1750C10h_CBS_001.png,test,SinglePhase,None,None
20230316_D3b.03_1750C10h_CBS_005.png,test,SinglePhase,None,None
20230116_B0.03_1750C10h_CBS_001.png,test,SinglePhase,None,None
"20230314_B0.05.02_1750C10h,1600C40h_CBS.png",test,SinglePhase,None,None
"20230316_D3b.05.02_1750C10h,1600C40h_CBS_004.png",test,SinglePhase,None,None
"20230411_D3b.05.03_1750C10h,1300C200h_CBS.png",test,SinglePhase,None,None
"20230314_C5.05.02_1750C10h,1600C40h_CBS.png",test,SinglePhase,None,None
20230126_C6.04_1900C10h_CBS.png,test,SinglePhase,None,None
"20230406_C6.06.02_1900C10h,1300C200h_CBS_003.png",test,SinglePhase,None,None
20230228_D4b.03_1750C10h_CBS.png,test,SinglePhase,None,None
20230301_C4N.04_1900C10h_CBS_002.png,test,SinglePhase,None,None
"20230316_D4b.05.02_1750C10h,1600C40h_CBS_002_BC2.png",test,SinglePhase,None,None
