filename,warning,model_path,ground_truth,silent_failure,trigger,human_path,intercepted_error
20220824_C2.01_AsCast_CBS_001.png,False,Dendritic,Dendritic,False,,,
20221109_C2.03_1750C10h_CBS_002.png,False,Dendritic,Dendritic,False,,,
20221117_D2.01_AsCast_CBS_002.png,False,Dendritic,Dendritic,False,,,
20221117_D2.03_1750C10h_CBS_010.png,True,Dendritic,DualPhase,,"{'level': 'root', 'type': 'Confidence', 'val': 0.947998687664042}",DualPhase,True
20221120_D1.01_AsCast_CBS_003.png,False,Dendritic,Dendritic,False,,,
20221120_D5.01_AsCast_CBS_002.png,True,Dendritic,Dendritic,,"{'level': 'root', 'type': 'Confidence', 'val': 0.6933234908136483}",Dendritic,False
20230116_B0.01_AsCast_CBS_002.png,True,Dendritic,Dendritic,,"{'level': 'root', 'type': 'Anomaly', 'val': 0.2870734908136483}",Dendritic,False
20230116_B0.03_1750C10h_CBS_001.png,True,SinglePhase,SinglePhase,,"{'level': 'root', 'type': 'Confidence', 'val': 0.8703248031496063}",SinglePhase,False
20230126_C6.01_AsCast_CBS_001.png,False,Dendritic,Dendritic,False,,,
20230126_C6.04_1900C10h_CBS.png,True,SinglePhase,SinglePhase,,"{'level': 'root', 'type': 'Anomaly', 'val': 0.130372375328084}",SinglePhase,False
20230222_E5.01_AsCast_CBS.png,False,Dendritic,Dendritic,False,,,
20230228_C3.01_AsCast_CBS_002.png,False,Dendritic,Dendritic,False,,,
20230228_D4b.03_1750C10h_CBS.png,False,SinglePhase,SinglePhase,False,,,
20230301_C4N.04_1900C10h_CBS_002.png,True,SinglePhase,SinglePhase,,"{'level': 'root', 'type': 'Anomaly', 'val': 0.2327755905511811}",SinglePhase,False
20230301_C6.05.01_1750C10h_CBS_009.png,False,Dendritic,Dendritic,False,,,
20230302_E2N.05.01_1750C10h_CBS_002.png,False,Dendritic,Dendritic,False,,,
"20230314_B0.05.02_1750C10h,1600C40h_CBS.png",False,SinglePhase,SinglePhase,False,,,
"20230314_C2.05.02_1750C10h,1600C40h_CBS_003.png",True,Dendritic,DualPhase,,"{'level': 'root', 'type': 'Confidence', 'val': 0.9119094488188977}",DualPhase,True
"20230314_C4N.05.02_1750C10h,1600C40h_CBS_007.png",False,DualPhase,DualPhase,False,,,
"20230314_C5.05.02_1750C10h,1600C40h_CBS.png",False,SinglePhase,SinglePhase,False,,,
"20230314_D2.05.02_1750C10h,1600C40h_CBS_003.png",True,Dendritic,DualPhase,,"{'level': 'root', 'type': 'Anomaly', 'val': 0.10761154855643044}",DualPhase,True
20230316_C5.01_AsCast_CBS.png,True,Dendritic,Dendritic,,"{'level': 'root', 'type': 'Confidence', 'val': 0.9215469160104987}",Dendritic,False
20230316_D3b.03_1750C10h_CBS_005.png,False,SinglePhase,SinglePhase,False,,,
"20230316_D3b.05.02_1750C10h,1600C40h_CBS_004.png",False,SinglePhase,SinglePhase,False,,,
"20230316_D4b.05.02_1750C10h,1600C40h_CBS_002_BC2.png",True,SinglePhase,SinglePhase,,"{'level': 'root', 'type': 'Confidence', 'val': 0.9434055118110236}",SinglePhase,False
"20230316_E1N.05.02_1750C10h,1600C40h_CBS_001.png",False,Dendritic,Dendritic,False,,,
"20230316_E3N.05.02_1750C10h,1600C40h_CBS_002.png",False,Dendritic,Dendritic,False,,,
"20230330_E5.05.02_1750C10h,1600C40h_CBS_001.png",False,Dendritic,Dendritic,False,,,
"20230405_B0.05.03_1750C10h,1300C200h_CBS_004.png",True,Dendritic,DualPhase,,"{'level': 'root', 'type': 'Confidence', 'val': 0.5699229002624672}",DualPhase,True
"20230406_C6.06.02_1900C10h,1300C200h_CBS_003.png",False,SinglePhase,SinglePhase,False,,,
"20230411_D3b.05.03_1750C10h,1300C200h_CBS.png",False,SinglePhase,SinglePhase,False,,,
"20230412_D2.05.03_1750C10h,1300C200h_CBS_005.png",False,DualPhase,DualPhase,False,,,
20230412_D3.05.01_1750C10h_CBS_001.png,False,SinglePhase,SinglePhase,False,,,
"20230412_E1N.05.03_1750C10h,1300C200h_CBS_001.png",False,Dendritic,Dendritic,False,,,
"20230425_E2N.05.03_1750C10h,1300C200h_CBS_001.png",False,Dendritic,Dendritic,False,,,
20230526_C4N.06.03_Pub_CBS_003.png,True,DualPhase,DualPhase,,"{'level': 'root', 'type': 'Confidence', 'val': 0.8718421916010499}",DualPhase,False
